Result	Lemma	Gender	Case	Tense	Voice	Mood	Person	Number	Gloss	Part	Chapter	Adverb/particle Type	Reference	Sense
Σατανᾶς	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Re 12:9,Re 20:2	-
σατανᾶ	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Mt 4:10,Mt 16:23,Mk 1:13,Mk 8:33,Ac 26:18,2 Co 2:11,2 Co 12:7,2 Th 2:9,1 Ti 5:15,Re 2:9,Re 2:13,Re 2:24,Re 3:9	-
σατανᾶν	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Mt 12:26,Mk 3:23,Lk 10:18,Ro 16:20	-
σατανᾶς	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Mt 12:26,Mk 3:23,Mk 3:26,Mk 4:15,Lk 11:18,Lk 13:16,Lk 22:3,Lk 22:31,Jn 13:27,Ac 5:3,1 Co 7:5,2 Co 11:14,1 Th 2:18,Re 2:13,Re 20:7	-
σατανᾷ	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	1 Co 5:5,1 Ti 1:20	-
Φαρισαίοις	Φαρισαῖος	-	-	-	-	-	-	-	-	noun	-	-	Lk 11:42,Lk 11:43	-
Φαρισαίου	Φαρισαῖος	-	-	-	-	-	-	-	-	noun	-	-	Lk 7:36,Lk 7:37	-
Φαρισαίους	Φαρισαῖος	-	-	-	-	-	-	-	-	noun	-	-	Lk 14:3,Jn 7:45,Jn 9:13,Jn 11:46,Jn 12:42	-
Φαρισαίων	Φαρισαῖος	-	-	-	-	-	-	-	-	noun	-	-	Mt 3:7,Mt 5:20,Mt 12:38,Mt 16:6,Mt 16:11,Mt 16:12,Mt 22:41,Mk 2:16,Mk 2:18,Mk 8:15,Mk 12:13,Lk 5:33,Lk 6:2,Lk 7:36,Lk 12:1,Lk 14:1,Lk 17:20,Lk 19:39,Jn 1:24,Jn 3:1,Jn 7:48,Jn 9:16,Jn 9:40,Jn 18:3,Ac 15:5,Ac 23:6,Ac 23:6,Ac 23:7,Ac 23:9	-
Φαρισαῖε	Φαρισαῖος	-	-	-	-	-	-	-	-	noun	-	-	Mt 23:26	-
