Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δαιμόνια,δαιμόνιον,—,—,—,—,neuter,accusative,plural,Matthew 7:22,"πολλοὶ ἐροῦσίν μοι ἐν ἐκείνῃ τῇ ἡμέρᾳ· κύριε κύριε, οὐ τῷ σῷ ὀνόματι ἐπροφητεύσαμεν, καὶ τῷ σῷ ὀνόματι","ἐξεβάλομεν, καὶ τῷ σῷ ὀνόματι δυνάμεις πολλὰς ἐποιήσαμεν;"
δαιμονίου,δαιμόνιον,—,—,—,—,neuter,genitive,singular,Matthew 9:33,καὶ ἐκβληθέντος τοῦ,ἐλάλησεν ὁ κωφός. καὶ ἐθαύμασαν οἱ ὄχλοι λέγοντες· οὐδέποτε ἐφάνη οὕτως ἐν τῷ Ἰσραήλ.
δαιμονίων,δαιμόνιον,—,—,—,—,neuter,genitive,plural,Matthew 9:34,οἱ δὲ Φαρισαῖοι ἔλεγον· ἐν τῷ ἄρχοντι τῶν,ἐκβάλλει τὰ δαιμόνια.
δαιμόνια,δαιμόνιον,—,—,—,—,neuter,accusative,plural,Matthew 9:34,οἱ δὲ Φαρισαῖοι ἔλεγον· ἐν τῷ ἄρχοντι τῶν δαιμονίων ἐκβάλλει τὰ,.
δαιμόνια,δαιμόνιον,—,—,—,—,neuter,accusative,plural,Matthew 10:8,"ἀσθενοῦντας θεραπεύετε, νεκροὺς ἐγείρετε, λεπροὺς καθαρίζετε,","ἐκβάλλετε⸃· δωρεὰν ἐλάβετε, δωρεὰν δότε."
δαιμόνιον,δαιμόνιον,—,—,—,—,neuter,accusative,singular,Matthew 11:18,"ἦλθεν γὰρ  Ἰωάννης μήτε ἐσθίων μήτε πίνων, καὶ λέγουσιν·",ἔχει.
δαιμόνια,δαιμόνιον,—,—,—,—,neuter,accusative,plural,Matthew 12:24,οἱ δὲ Φαρισαῖοι ἀκούσαντες εἶπον· οὗτος οὐκ ἐκβάλλει τὰ,εἰ μὴ ἐν τῷ Βεελζεβοὺλ ἄρχοντι τῶν δαιμονίων.
δαιμονίων,δαιμόνιον,—,—,—,—,neuter,genitive,plural,Matthew 12:24,οἱ δὲ Φαρισαῖοι ἀκούσαντες εἶπον· οὗτος οὐκ ἐκβάλλει τὰ δαιμόνια εἰ μὴ ἐν τῷ Βεελζεβοὺλ ἄρχοντι τῶν,.
δαιμόνια,δαιμόνιον,—,—,—,—,neuter,accusative,plural,Matthew 12:27,καὶ εἰ ἐγὼ ἐν Βεελζεβοὺλ ἐκβάλλω τὰ,", οἱ υἱοὶ ὑμῶν ἐν τίνι ἐκβάλλουσιν; διὰ τοῦτο αὐτοὶ κριταὶ ἔσονται ὑμῶν."
δαιμόνια,δαιμόνιον,—,—,—,—,neuter,accusative,plural,Matthew 12:28,εἰ δὲ ἐν πνεύματι θεοῦ ἐγὼ ἐκβάλλω τὰ,", ἄρα ἔφθασεν ἐφʼ ὑμᾶς ἡ βασιλεία τοῦ θεοῦ."
