Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
υἱοῦ,υἱός,—,—,—,—,masculine,genitive,singular,Matthew 1:1,Βίβλος γενέσεως Ἰησοῦ Χριστοῦ,Δαυὶδ υἱοῦ Ἀβραάμ.
υἱοῦ,υἱός,—,—,—,—,masculine,genitive,singular,Matthew 1:1,Βίβλος γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυὶδ,Ἀβραάμ.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 1:20,ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ,"Δαυίδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου· τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου."
υἱόν,υἱός,—,—,—,—,masculine,accusative,singular,Matthew 1:21,τέξεται δὲ,", καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν."
υἱόν,υἱός,—,—,—,—,masculine,accusative,singular,Matthew 1:23,ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται,",        καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ,  ὅ ἐστιν μεθερμηνευόμενον μεθʼ ἡμῶν ὁ θεός."
υἱόν,υἱός,—,—,—,—,masculine,accusative,singular,Matthew 1:25,καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν,· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν.
υἱόν,υἱός,—,—,—,—,masculine,accusative,singular,Matthew 2:15,τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος·        ἐξ Αἰγύπτου ἐκάλεσα τὸν,μου.
υἱός,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 3:17,καὶ ἰδοὺ φωνὴ ἐκ τῶν οὐρανῶν λέγουσα·  οὗτός ἐστιν ὁ,"μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα."
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 4:3,καὶ προσελθὼν ὁ πειράζων εἶπεν αὐτῷ·  εἰ,"εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται."
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 4:6,καὶ λέγει αὐτῷ· εἰ,"εἶ τοῦ θεοῦ, βάλε σεαυτὸν  κάτω· γέγραπται γὰρ ὅτι        τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται"
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 5:9,"μακάριοι οἱ εἰρηνοποιοί,        ὅτι αὐτοὶ",θεοῦ κληθήσονται.
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 5:45,ὅπως γένησθε,"τοῦ πατρὸς ὑμῶν τοῦ ἐν οὐρανοῖς, ὅτι τὸν ἥλιον αὐτοῦ ἀνατέλλει ἐπὶ πονηροὺς"
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 7:9,"ἢ τίς ἐστιν ἐξ ὑμῶν ἄνθρωπος, ὃν αἰτήσει ὁ","αὐτοῦ ἄρτον, μὴ λίθον ἐπιδώσει αὐτῷ;"
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 8:12,οἱ δὲ,τῆς βασιλείας ἐκβληθήσονται εἰς τὸ σκότος τὸ ἐξώτερον· ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 8:20,"καὶ λέγει αὐτῷ ὁ Ἰησοῦς· αἱ ἀλώπεκες φωλεοὺς ἔχουσιν καὶ τὰ πετεινὰ τοῦ οὐρανοῦ κατασκηνώσεις, ὁ δὲ",τοῦ ἀνθρώπου οὐκ ἔχει ποῦ τὴν κεφαλὴν κλίνῃ.
υἱὲ,υἱός,—,—,—,—,masculine,vocative,singular,Matthew 8:29,"καὶ ἰδοὺ ἔκραξαν λέγοντες· τί ἡμῖν καὶ σοί,",τοῦ θεοῦ; ἦλθες ὧδε πρὸ καιροῦ βασανίσαι ἡμᾶς;
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 9:6,ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ,τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας—τότε λέγει τῷ παραλυτικῷ· ἐγερθεὶς ἆρόν
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 9:15,καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· μὴ δύνανται οἱ,τοῦ νυμφῶνος πενθεῖν ἐφʼ ὅσον μετʼ αὐτῶν ἐστιν ὁ νυμφίος; ἐλεύσονται δὲ ἡμέραι
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 9:27,"Καὶ παράγοντι ἐκεῖθεν τῷ Ἰησοῦ ἠκολούθησαν [αὐτῷ] δύο τυφλοὶ κράζοντες καὶ λέγοντες· ἐλέησον ἡμᾶς,",Δαυίδ.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 10:23,"ὑμῖν, οὐ μὴ τελέσητε τὰς πόλεις τοῦ Ἰσραὴλ ἕως ἂν ἔλθῃ ὁ",τοῦ ἀνθρώπου.
υἱὸν,υἱός,—,—,—,—,masculine,accusative,singular,Matthew 10:37,"Ὁ φιλῶν πατέρα ἢ μητέρα ὑπὲρ ἐμὲ οὐκ ἔστιν μου ἄξιος, καὶ ὁ φιλῶν",ἢ θυγατέρα ὑπὲρ ἐμὲ οὐκ ἔστιν μου ἄξιος·
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 11:19,ἦλθεν ὁ,"τοῦ ἀνθρώπου ἐσθίων καὶ πίνων, καὶ λέγουσιν· ἰδοὺ ἄνθρωπος φάγος καὶ οἰνοπότης, τελωνῶν"
υἱὸν,υἱός,—,—,—,—,masculine,accusative,singular,Matthew 11:27,"Πάντα μοι παρεδόθη ὑπὸ τοῦ πατρός μου,  καὶ οὐδεὶς ἐπιγινώσκει τὸν","εἰ μὴ ὁ πατήρ, οὐδὲ τὸν πατέρα τις ἐπιγινώσκει εἰ μὴ ὁ υἱὸς"
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 11:27,"εἰ μὴ ὁ πατήρ, οὐδὲ τὸν πατέρα τις ἐπιγινώσκει εἰ μὴ ὁ",καὶ ᾧ ἐὰν βούληται ὁ υἱὸς ἀποκαλύψαι.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 11:27,πατέρα τις ἐπιγινώσκει εἰ μὴ ὁ υἱὸς καὶ ᾧ ἐὰν βούληται ὁ,ἀποκαλύψαι.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 12:8,κύριος γάρ ἐστιν τοῦ σαββάτου ὁ,τοῦ ἀνθρώπου.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 12:23,καὶ ἐξίσταντο πάντες οἱ ὄχλοι καὶ ἔλεγον· μήτι οὗτός ἐστιν ὁ,Δαυίδ;
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 12:27,"καὶ εἰ ἐγὼ ἐν Βεελζεβοὺλ ἐκβάλλω τὰ δαιμόνια, οἱ",ὑμῶν ἐν τίνι ἐκβάλλουσιν; διὰ τοῦτο αὐτοὶ κριταὶ ἔσονται ὑμῶν.
υἱοῦ,υἱός,—,—,—,—,masculine,genitive,singular,Matthew 12:32,καὶ ὃς ἐὰν εἴπῃ λόγον κατὰ τοῦ,"τοῦ ἀνθρώπου,  ἀφεθήσεται αὐτῷ· ὃς δʼ ἂν εἴπῃ κατὰ τοῦ πνεύματος τοῦ ἁγίου"
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 12:40,"ὥσπερ γὰρ ἦν Ἰωνᾶς ἐν τῇ κοιλίᾳ τοῦ κήτους τρεῖς ἡμέρας καὶ τρεῖς νύκτας, οὕτως ἔσται  ὁ",τοῦ ἀνθρώπου ἐν τῇ καρδίᾳ τῆς γῆς τρεῖς ἡμέρας καὶ τρεῖς νύκτας.
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 13:37,ὁ δὲ ἀποκριθεὶς εἶπεν· ὁ σπείρων τὸ καλὸν σπέρμα ἐστὶν ὁ,"τοῦ ἀνθρώπου,"
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 13:38,"ὁ δὲ ἀγρός ἐστιν ὁ κόσμος, τὸ δὲ καλὸν σπέρμα οὗτοί εἰσιν οἱ","τῆς βασιλείας· τὰ δὲ ζιζάνιά εἰσιν οἱ υἱοὶ τοῦ πονηροῦ,"
υἱοὶ,υἱός,—,—,—,—,masculine,nominative,plural,Matthew 13:38,σπέρμα οὗτοί εἰσιν οἱ υἱοὶ τῆς βασιλείας· τὰ δὲ ζιζάνιά εἰσιν οἱ,"τοῦ πονηροῦ,"
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 13:41,ἀποστελεῖ ὁ,"τοῦ ἀνθρώπου τοὺς ἀγγέλους αὐτοῦ, καὶ συλλέξουσιν ἐκ τῆς βασιλείας αὐτοῦ πάντα τὰ"
υἱός,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 13:55,οὐχ οὗτός ἐστιν ὁ τοῦ τέκτονος,; οὐχ ἡ μήτηρ αὐτοῦ λέγεται Μαριὰμ καὶ οἱ ἀδελφοὶ αὐτοῦ Ἰάκωβος καὶ Ἰωσὴφ καὶ Σίμων καὶ Ἰούδας;
υἱὸς,υἱός,—,—,—,—,masculine,nominative,singular,Matthew 14:33,οἱ δὲ ἐν τῷ πλοίῳ  προσεκύνησαν αὐτῷ λέγοντες· ἀληθῶς θεοῦ,εἶ.
